,Sat2Earth_x,Sat2Earth_y,Sat2Earth_z
504,3407.1,6535.3,1817.1
505,3167.3,6680.5,1896.4
506,2924.3,6819,1973.9
507,2678.3,6951.1,2049.4
508,2429.6,7076.5,2123.1
509,2178.5,7195.4,2194.8
510,1925.1,7307.9,2264.5
511,1669.8,7413.8,2332.3
512,1412.7,7513.3,2398.1
513,1154.1,7606.4,2461.9
514,894.35,7693.2,2523.6
515,633.55,7773.7,2583.4
516,371.96,7848,2641.1
517,109.82,7916.3,2696.8
518,-152.65,7978.5,2750.5
519,-415.25,8034.8,2802.1
520,-677.76,8085.3,2851.8
521,-939.98,8130.2,2899.5
522,-1201.7,8169.4,2945.2
523,-1462.9,8203.2,2988.9
524,-1723.2,8231.6,3030.7
525,-1982.5,8254.8,3070.6
526,-2240.8,8273,3108.7
527,-2497.9,8286.2,3144.8
528,-2753.7,8294.5,3179.2
529,-3008.1,8298.2,3211.8
530,-3261,8297.3,3242.6
531,-3512.5,8292,3271.7
532,-3762.4,8282.3,3299.2
533,-4010.9,8268.4,3325
534,-4257.8,8250.4,3349.2
535,-4503.3,8228.4,3371.8
536,-4747.3,8202.4,3393
537,-4990.3,8172.5,3412.6
538,-5232.2,8138.8,3430.8
539,-5472.9,8101.4,3447.6
540,-5712.2,8060.2,3462.9
541,-5950.1,8015.5,3476.8
542,-6186.4,7967.3,3489.4
543,-6420.9,7915.6,3500.5
544,-6653.5,7860.7,3510.3
545,-6884.1,7802.7,3518.8
546,-7112.5,7741.5,3525.9
547,-7338.6,7677.4,3531.7
548,-7562.3,7610.5,3536.3
549,-7783.5,7540.9,3539.6
550,-8002,7468.7,3541.8
551,-8217.9,7394.1,3542.7
552,-8430.9,7317.1,3542.5
553,-8641,7238,3541.2
554,-8848.1,7156.7,3538.9
555,-9052.1,7073.6,3535.5
556,-9253,6988.7,3531
557,-9450.6,6902.1,3525.7
558,-9645.1,6813.9,3519.4
559,-9836.2,6724.4,3512.2
560,-10024,6633.5,3504.1
561,-10208,6541.6,3495.3
562,-10389,6448.5,3485.6
563,-10567,6354.6,3475.3
564,-10741,6259.8,3464.2
565,-10912,6164.4,3452.5
566,-11079,6068.3,3440.1
567,-11243,5971.8,3427.2
568,-11404,5874.8,3413.7
569,-11561,5777.5,3399.7
570,-11715,5680,3385.2
571,-11865,5582.3,3370.2
572,-12013,5484.5,3354.9
573,-12157,5386.7,3339.1
574,-12298,5289,3322.9
575,-12436,5191.2,3306.4
576,-12572,5093.6,3289.6
577,-12704,4996.1,3272.4
578,-12833,4898.8,3255
579,-12960,4801.6,3237.3
580,-13084,4704.6,3219.3
581,-13206,4607.8,3201
582,-13325,4511.1,3182.6
583,-13442,4414.6,3163.9
584,-13556,4318.2,3144.9
585,-13669,4221.8,3125.7
586,-13780,4125.5,3106.3
587,-13888,4029.1,3086.7
588,-13995,3932.6,3066.8
589,-14101,3835.9,3046.6
590,-14205,3739,3026.2
591,-14307,3641.7,3005.4
592,-14409,3544,2984.4
593,-14509,3445.7,2963
594,-14608,3346.7,2941.3
595,-14707,3246.8,2919.2
596,-14804,3146,2896.7
597,-14902,3044.1,2873.7
598,-14998,2940.9,2850.2
599,-15095,2836.2,2826.2
600,-15191,2729.8,2801.6
601,-15287,2621.7,2776.3
602,-15384,2511.4,2750.4
603,-15480,2398.9,2723.7
604,-15577,2284,2696.2
605,-15674,2166.2,2667.9
606,-15772,2045.5,2638.5
607,-15870,1923,2608.5
608,-15965,1800.3,2578.2
609,-16059,1677.4,2547.6
610,-16152,1554.2,2516.8
611,-16242,1430.9,2485.6
612,-16331,1307.3,2454.2
613,-16418,1183.7,2422.5
614,-16504,1059.9,2390.6
615,-16588,935.95,2358.5
616,-16670,811.94,2326.1
617,-16750,687.85,2293.5
618,-16829,563.69,2260.6
619,-16907,439.49,2227.5
620,-16982,315.25,2194.3
621,-17056,191,2160.8
622,-17129,66.733,2127.1
623,-17200,-57.52,2093.3
624,-17269,-181.75,2059.2
625,-17337,-305.95,2025
626,-17403,-430.1,1990.6
627,-17468,-554.2,1956
628,-17531,-678.22,1921.3
629,-17593,-802.17,1886.4
630,-17653,-926.03,1851.4
631,-17712,-1049.8,1816.2
632,-17769,-1173.4,1780.9
633,-17825,-1297,1745.4
634,-17880,-1420.4,1709.8
635,-17933,-1543.6,1674
636,-17984,-1666.7,1638.2
637,-18034,-1789.7,1602.2
638,-18083,-1912.5,1566.1
639,-18130,-2035.2,1529.9
640,-18176,-2157.6,1493.5
641,-18220,-2279.9,1457.1
642,-18264,-2402,1420.6
643,-18305,-2523.9,1383.9
644,-18346,-2645.6,1347.2
645,-18385,-2767.1,1310.4
646,-18423,-2888.4,1273.4
647,-18459,-3009.5,1236.4
648,-18494,-3130.3,1199.3
649,-18528,-3250.9,1162.2
650,-18561,-3371.3,1124.9
651,-18592,-3491.5,1087.6
652,-18622,-3611.4,1050.2
653,-18651,-3731,1012.7
654,-18678,-3850.4,975.15
655,-18704,-3969.6,937.54
656,-18729,-4088.4,899.87
657,-18753,-4207,862.13
658,-18775,-4325.4,824.34
